"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Comments,Saves,Follows
17911489316834724,17841461458191255,locwithaush,"Aushanae Haller","I take lots of pictures of my loc journey but not so many videos 😭 wanted to start with some of the changes I’ve noticed in the past 3 months since starting. What are some changes you noticed early in your loc journey 💫?
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",28,"11/02/2023 10:02",https://www.instagram.com/reel/CzJrQ-auZiP/,"IG reel",,Lifetime,4157,260,2,5,11,9
18014650463118479,17841461458191255,locwithaush,"Aushanae Haller","Ugh I missed her 😍 I love their natural form 🫶🏽
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/27/2024 15:37",https://www.instagram.com/p/C2n1YB-u2t8/,"IG image",,Lifetime,2184,130,2,3,5,3
17899537082939782,17841461458191255,locwithaush,"Aushanae Haller","Day 190 • It’s about time to wash my scalp ☺️ living for the pigtails though ‼️
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/26/2024 13:49",https://www.instagram.com/p/C2lENRPOvob/,"IG carousel",,Lifetime,1837,100,1,3,8,3
18084660298418346,17841461458191255,locwithaush,"Aushanae Haller","Silly with Texture today 🤪💕 • Day 187
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/23/2024 17:28",https://www.instagram.com/p/C2du3jFu0jQ/,"IG carousel",,Lifetime,1732,119,2,3,6,1
17997037112236958,17841461458191255,locwithaush,"Aushanae Haller","6 month progress post 🫶🏽‼️ This is probably my best retwist yet… love self maintaining my locs and growing along side them 🥹
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/22/2024 10:00",https://www.instagram.com/p/C2aW3s2OSIq/,"IG image",,Lifetime,13040,560,16,5,60,16
18055399198480854,17841461458191255,locwithaush,"Aushanae Haller","Imagine how far along you’d be if you locked up when you started to think about locking up 😭 this is your sign, just do it ‼️",8,"01/22/2024 07:13",https://www.instagram.com/reel/C2aDcI7OgQ1/,"IG reel",,Lifetime,2322,151,3,1,7,2
18280666978090357,17841461458191255,locwithaush,"Aushanae Haller","ITS THE BIG 6 MONTHS YALL ‼️✨🥳 A whole half year locked today 🥹 never loved my hair more and she’s not even done yet … looking forward to the next 6 ☺️🫶🏽💕
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/20/2024 13:37",https://www.instagram.com/p/C2VmHVUuDHq/,"IG carousel",,Lifetime,4496,441,15,17,33,12
18000145058172322,17841461458191255,locwithaush,"Aushanae Haller","Day 181 ✨Wanted to provide full transparency in this post for those interested in starting their locs‼️This is what my 4c locs usually look like a few days before a retwist. A very thick afro at the roots, hairs flying in between locs & the back row damn near non existent but slowly locking 😭
•
Side note, I got a lil shake going on in the back. 🤪
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/17/2024 16:21",https://www.instagram.com/p/C2OKdW2u42v/,"IG carousel",,Lifetime,6698,450,9,7,47,25
17902161773840887,17841461458191255,locwithaush,"Aushanae Haller","I’ve been slacking on the progress pics ‼️ Here’s the progress over Month 4 💕 For reference, I usually keep a Retwist for about a week and then I wash my scalp every week after. So as the month progresses my #4chair shrinks back to it’s normal texture till the next retwist that stretches it back out again. 
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/11/2024 10:00",https://www.instagram.com/p/C1-CIXKur3x/,"IG image",,Lifetime,2946,174,2,5,15,8
17985392402386402,17841461458191255,locwithaush,"Aushanae Haller","Happy #texturetuesday ‼️ took a bit of a break for the holidays & to prepare for this semester, but the locs have been locking 🫶🏽 now on Day 173
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"01/09/2024 11:22",https://www.instagram.com/p/C15B5f_OneJ/,"IG carousel",,Lifetime,3648,310,10,10,38,13
