"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
18017317418195383,17841461458191255,locwithaush,"Aushanae Haller","Happy Friday loves 🤎🫶🏽☺️ • Day 288

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"05/03/2024 17:18",https://www.instagram.com/p/C6hrJghusxX/,"IG image",,Lifetime,2761,275,6,9,11,13,
18025437893217051,17841461458191255,locwithaush,"Aushanae Haller","I’ve been looking forward to this post since Day 1 🥹
My locs have shrunk, doubled in size and grew back a little further than the length I started with 🤯 I knew length would come with time but I used to worry about volume… now my locs are breaking my hair ties 🥲

I KNOW YOU’RE TIRED OF HEARING IT BUT: 
✨ Trust The Process ✨

I’m looking forward to this next year of growth. I’m thinking most of my back locs will reach my shoulders at the end of year 2. What do y’all think?",0,"07/23/2024 08:30",https://www.instagram.com/p/C9xTF-yOwAE/,"IG image",,Lifetime,75577,4771,126,184,52,434,91526
17846451441245828,17841461458191255,locwithaush,"Aushanae Haller","ITS BEEN A YEAR LOC’D 🤩 SWIPE TO SEE WHERE WE STARTED BABE ‼️ Locaversary Reflection Below 💕
•
It’s been surreal watching my hair through this journey… every 3 months it felt like she changed completely.. growing in ways I never thought possible. Just for reference, I cut my hair off completely and started growing it back Dec 2020. Dyed it red and did red braids for a while. Then July 20th, 2023 I decided to lock up! So the red you see at the end of my hair was the length I retained over 3 years. And in this year alone I’ve DOUBLED the length 🤯
•
So the growth has been such a sight to witness and healing for the inner child I dedicated this journey to. I was raised in a place where my hair (among other things) made me an outcast, and no matter what I did I felt like I could never compare. It was just too different, and different felt bad. And I knew the whole “Different is good” thing but if we’re being honest, as a child the last thing you want to be is different. I wasn’t taught how to embrace my hair, I was taught how to hide it. And that’s what I did, for a long time.
•
When I finally decided not to it was a struggle.. to learn how to style my hair on my own with the help of YouTube.. not to mention I didn’t have the money for styling products. It was frustrating and unhealthy for my mental. So I cut it off and that was liberating. I loved every second of it truly. And having that buzz cut made me different too, but I was in undergrad and the pressure of fitting in just doesn’t hit the same as it does in high school. The weight of your responsibility in the world just pushes all of that shit to the side you know? I stopped thinking about how I was different and started thinking about how I just, am. And how I prefer to just, be. I started to grow my hair again in hopes of having a gigantic afro but, the maintenance was a bitch. So I opted instead for locs ‼️ Now here I am in grad school, with hair I’d die for and loving every second of it 💕
•
Growing with her has been the experience of a lifetime. If you need a sign to start your locs, this is it. I can not be anymore genuine than when I say, Loc Your Hair Now 🫶🏽",0,"07/20/2024 13:57",https://www.instagram.com/p/C9qKLQyJNEX/,"IG carousel",,Lifetime,4003,229,12,3,25,9,5437
18022623251089189,17841461458191255,locwithaush,"Aushanae Haller","The last progress pic of the year ✨ We’ve come such a long way and the growth has me in awe.. more on that soon 💕
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"07/19/2024 10:00",https://www.instagram.com/p/C9nKODzOknS/,"IG image",,Lifetime,46997,2418,95,68,4,234,53929
17863845615126079,17841461458191255,locwithaush,"Aushanae Haller","Day 364 fresh after a wash 🤩 But technically my locaversary is on the 20th, so tmr I’ll post a progress pic and the day after is a full year 🫨

•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"07/18/2024 10:41",https://www.instagram.com/p/C9kqLbUuMHl/,"IG carousel",,Lifetime,2204,115,0,3,4,7,2816
17864050011170101,17841461458191255,locwithaush,"Aushanae Haller","I hoped that I had caught #texturetuesday … I was sadly mistaken

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"07/10/2024 11:36",https://www.instagram.com/p/C9QKJHnO6Db/,"IG image",,Lifetime,2800,231,4,8,7,14,3394
18034317950302009,17841461458191255,locwithaush,"Aushanae Haller","Day 348 🫶🏽 • I’ve been so busyyyy and I’m already so close to 1 year, it’s coming so fast ‼️ What should I do for my locaversary? 👀

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"07/05/2024 09:00",https://www.instagram.com/p/C9DAQ2fu7WO/,"IG carousel",,Lifetime,3250,331,9,17,4,20,4118
18006377261608379,17841461458191255,locwithaush,"Aushanae Haller","Day 341 💕 • I’ve hit 11 months at this point! I won’t retwist till this weekend or so, I have a trip to go on soon ☺️. Will have a progress update for you then ‼️🫶🏽

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"06/27/2024 10:00",https://www.instagram.com/p/C8ugyDTuNyY/,"IG image",,Lifetime,1887,154,4,6,9,10,
18011685059412934,17841461458191255,locwithaush,"Aushanae Haller","Happy Texture Tuesday ‼️ been a while since I’ve posted a progress post 😋

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"06/11/2024 07:26",https://www.instagram.com/p/C8FCenUuJCe/,"IG image",,Lifetime,5290,345,9,6,6,25,
18010849646391878,17841461458191255,locwithaush,"Aushanae Haller","It’s a Texture Wednesday type of week 🥲 • Day 321

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"06/05/2024 17:56",https://www.instagram.com/p/C72twlMI-o3/,"IG image",,Lifetime,2749,282,7,14,8,12,
